Reference, Quantity, Value, Footprint, Datasheet
C1 ,1,"2.2uF 25V","lc_lib:1206_C","~"
C15 ,1,"330pF","lc_lib:0805_C","~"
C18 C24 ,2,"103","lc_lib:0805_C","~"
C19 ,1,"105","lc_lib:0805_C","~"
C2 ,1,"100uF","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~"
C20 C38 ,2,"1uF 50V","lc_lib:1206_C","~"
C22 ,1,"270p","lc_lib:0805_C","~"
C23 ,1,"10uF","lc_lib:1210_C","~"
C29 ,1,"47uF 25V","Capacitor_SMD:CP_Elec_6.3x5.9","~"
C3 C5 C7 C12 C13 C16 C17 C21 C25 C26 C30 C39 C40 C41 ,14,"104","lc_lib:0805_C","~"
C31 ,1,"1000uF 63V","Capacitor_THT:CP_Radial_D16.0mm_P7.50mm","~"
C4 ,1,"1000uF 63V","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","~"
C6 ,1,"10uF 63V","lc_lib:1210_C","~"
C8 C14 ,2,"10uF","lc_lib:0805_C","~"
C9 C10 C27 C28 ,4,"1uF","lc_lib:0805_C","~"
D1 ,1,"1N4007","MyPCBLib:SMA(DO-214AC)_S1","http://www.vishay.com/docs/88503/1n4001.pdf"
D11 D12 ,2,"LED_12","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
D2 ,1,"50V","MyPCBLib:SMA(DO-214AC)_S1","~"
D4 ,1,"16V","MyPCBLib:LL-34","~"
D3 D5 D6 D10 ,4,"16V","MyPCBLib:SMA(DO-214AC)_S1","~"
D7 D8 ,2,"5.6V","MyPCBLib:SMA(DO-214AC)_S1","~"
D9 ,1,"SS34","lc_lib:SMA(DO-214AC)_S1","~"
F1 ,1,"1A","lc_lib:1206_R","~"
F2 F3 ,2,"6.8V0.1A","lc_lib:0805_R","~"
J1 ,1,"24VAC","Connector_Phoenix_MSTB:PhoenixContact_MSTBA_2,5_2-G-5,08_1x02_P5.08mm_Horizontal","~"
J10 ,1,"LIMIT12","Connector_Phoenix_MSTB:PhoenixContact_MSTBA_2,5_3-G-5,08_1x03_P5.08mm_Horizontal","~"
J12 ,1,"RS485","Connector_Phoenix_MSTB:PhoenixContact_MSTBA_2,5_3-G-5,08_1x03_P5.08mm_Horizontal","~"
J3 ,1,"JTAG","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~"
J4 ,1,"Power","Connector_PinSocket_2.54mm:PinSocket_2x05_P2.54mm_Vertical_SMD","~"
J5 ,1,"Control Signals","Connector_PinSocket_2.54mm:PinSocket_2x05_P2.54mm_Vertical_SMD","~"
J6 ,1,"HR913550A","MyPCBLib:HR913550A",""
J7 ,1,"Sensor Feedback","Connector_PinSocket_2.54mm:PinSocket_2x05_P2.54mm_Vertical_SMD","~"
J8 ,1,"UART","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~"
J9 J11 ,2,"POT","Connector_Phoenix_MSTB:PhoenixContact_MSTBA_2,5_3-G-5,08_1x03_P5.08mm_Horizontal","~"
JP1 ,1,"Prog","MyPCBLib:Jumper_3P",""
JP2 JP3 ,2,"Jumper-3pin","MyPCBLib:Jumper_3P",""
JP4 ,1,"VSEL","MyPCBLib:Jumper_3P",""
L1 ,1,"bead","lc_lib:0805_L","~"
L2 ,1,"22uH 2A","Inductor_SMD:L_Taiyo-Yuden_NR-50xx","~"
Q1 ,1,"8550","lc_lib:SOT-23(SOT-23-3)","http://www.unisonic.com.tw/datasheet/S8550.pdf"
Q2 ,1,"TIP127","Package_TO_SOT_SMD:TO-252-2","https://www.onsemi.com/pub/Collateral/TIP120-D.PDF"
Q3 ,1,"MMBT5551","lc_lib:SOT-23(SOT-23-3)","www.onsemi.com/pub/Collateral/MMBT5550LT1-D.PDF"
R1 R2 R9 R10 R66 ,5,"10K","lc_lib:0805_R","~"
R4 R11 ,2,"100K","lc_lib:0805_R","~"
R12 ,1,"51K","lc_lib:0805_R","~"
R6 R13 R16 ,3,"2.2K","lc_lib:0805_R","~"
R14 R20 R21 R22 R33 R42 ,6,"10","lc_lib:0805_R","~"
R15 R17 R26 R27 R47 R59 ,6,"4.7K","lc_lib:0805_R","~"
R28 R48 ,2,"680 1/2","Resistor_SMD:R_1812_4532Metric_Pad1.30x3.40mm_HandSolder","~"
R30 ,1,"1K 1/2","Resistor_SMD:R_1812_4532Metric_Pad1.30x3.40mm_HandSolder","~"
R31 ,1,"1.5k","lc_lib:0805_R","~"
R5 R32 R49 R56 R57 R58 R60 R62 ,8,"1K","lc_lib:0805_R","~"
R18 R19 R34 R45 ,4,"100","lc_lib:0805_R","~"
R35 R40 R41 R43 ,4,"49.9","lc_lib:0805_R","~"
R37 R46 ,2,"18K","lc_lib:0805_R","~"
